,accuracy,precision,recall,f1,roc_auc,log_loss
Keras CNN,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,0.9683641975308641,0.42762366127010915
PyTorch CNN,0.8611111111111112,1.0,0.7222222222222222,0.8387096774193549,0.9251543209876543,0.45160506075517076
