,n_test,accuracy,precision,recall,f1,roc_auc,log_loss
Keras CNN,72,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,0.9683641975308641,0.42762366127010915
PyTorch CNN,72,0.8611111111111112,1.0,0.7222222222222222,0.8387096774193549,0.9251543209876543,0.45160506075517076
Keras CNN-ViT,72,0.9305555555555556,0.9696969696969697,0.8888888888888888,0.927536231884058,0.970679012345679,0.19806735688315966
PyTorch CNN-ViT,72,0.8888888888888888,0.9375,0.8333333333333334,0.8823529411764706,0.91820987654321,0.2889441997131914
